
 ======= APC Propeller Performance Predictions =========================

  Given an RPM, the velocity is determined that yields peak efficiency.

  Be wary of the highest 1 or 2 RPM data points.  The computations inherently tend toward 
  instability at the highest RPM's where solutions generally still appear to be available.
  For example, the following props contain divergent data at the upper RPM limits:
      11x8     (highest RPM)
      22x11E   (2 highest RPM's')


           ========== 105x45 ==========

       RPM       VMPH       EFF      HP
     22000       164        0.86    2.2960
     25000       185        0.75    4.5850
 


           ========== 875x70NN ==========

       RPM       VMPH       EFF      HP
      1000         7        0.84    0.0000
      2000        14        0.84    0.0010
      3000        21        0.84    0.0040
      4000        29        0.84    0.0110
      5000        36        0.84    0.0210
      6000        43        0.84    0.0360
      7000        50        0.84    0.0570
      8000        58        0.84    0.0860
      9000        65        0.84    0.1230
     10000        72        0.85    0.1680
     11000        79        0.86    0.2240
     12000        90        0.86    0.2530
     13000        98        0.87    0.3230
     13999       106        0.88    0.4020
     15000       113        0.88    0.5000
     16000       121        0.89    0.6150
     17000       128        0.89    0.7490
     18000       136        0.89    0.9040
     19000       143        0.89    1.0860
     20000       150        0.89    1.3120
     21000       157        0.89    1.5970
     22000       157        0.86    2.3730
     23000       179        0.83    2.4000
     24000       179        0.79    3.5420
     25000       183        0.75    4.3220
 


           ========== 875x75N ==========

       RPM       VMPH       EFF      HP
      1000         7        0.85    0.0000
      2000        15        0.85    0.0020
      3000        23        0.85    0.0050
      4000        30        0.85    0.0130
      5000        38        0.85    0.0250
      6000        46        0.85    0.0440
      7000        53        0.85    0.0700
      8000        61        0.85    0.1040
      9000        72        0.86    0.1290
     10000        80        0.87    0.1760
     11000        88        0.87    0.2350
     12000        96        0.88    0.3040
     13000       104        0.88    0.3880
     13999       112        0.89    0.4850
     15000       120        0.89    0.6040
     16000       128        0.89    0.7440
     17000       135        0.89    0.9090
     18000       143        0.90    1.0950
     19000       151        0.90    1.3190
     20000       159        0.90    1.6000
     21000       167        0.89    1.9350
     24000       190        0.80    4.1350
     25000       198        0.76    4.8060
 


           ========== 875x75NN ==========

       RPM       VMPH       EFF      HP
      1000         7        0.85    0.0000
      2000        15        0.85    0.0010
      3000        22        0.85    0.0050
      4000        30        0.85    0.0110
      5000        38        0.85    0.0220
      6000        45        0.85    0.0390
      7000        53        0.86    0.0620
      8000        60        0.86    0.0930
      9000        68        0.86    0.1330
     10000        76        0.86    0.1820
     11000        83        0.87    0.2410
     12000        91        0.87    0.3140
     13000        98        0.88    0.4010
     13999       111        0.88    0.4380
     15000       118        0.89    0.5450
     16000       126        0.89    0.6720
     17000       134        0.89    0.8190
     18000       142        0.89    0.9900
     19000       150        0.90    1.1870
     20000       157        0.90    1.4300
     21000       164        0.90    1.7350
     22000       171        0.88    2.1860
     23000       180        0.84    3.0320
     24000       187        0.81    3.8910
     25000       192        0.77    4.6380
     26000       199        0.74    5.1790
 


           ========== 875x75W ==========

       RPM       VMPH       EFF      HP
      1000         7        0.84    0.0000
      2000        14        0.84    0.0010
      3000        22        0.84    0.0050
      4000        29        0.84    0.0110
      5000        37        0.84    0.0220
      6000        44        0.84    0.0390
      7000        52        0.84    0.0620
      8000        59        0.84    0.0930
      9000        66        0.84    0.1320
     10000        74        0.85    0.1810
     11000        81        0.86    0.2410
     12000        89        0.86    0.3120
     13000        96        0.87    0.3980
     13999       108        0.87    0.4350
     15000       116        0.88    0.5420
     16000       124        0.88    0.6690
     17000       131        0.88    0.8130
     18000       139        0.89    0.9840
     19000       147        0.89    1.1840
     20000       155        0.89    1.4270
     21000       162        0.88    1.7510
     22000       170        0.84    2.4100
 


           ========== 875x775N ==========

       RPM       VMPH       EFF      HP
      1000         7        0.85    0.0000
      2000        15        0.85    0.0020
      3000        23        0.85    0.0060
      4000        31        0.85    0.0130
      5000        39        0.85    0.0260
      6000        47        0.85    0.0460
      7000        55        0.85    0.0730
      8000        65        0.85    0.0950
      9000        74        0.86    0.1350
     10000        82        0.87    0.1840
     11000        90        0.88    0.2460
     12000        98        0.88    0.3190
     13000       106        0.89    0.4060
     13999       115        0.89    0.5080
     15000       123        0.89    0.6330
     16000       131        0.90    0.7810
     17000       139        0.90    0.9510
     18000       147        0.90    1.1520
     19000       155        0.90    1.3870
     20000       163        0.90    1.6830
     21000       171        0.89    2.0430
     22000       186        0.86    2.3260
     25000       208        0.75    4.4950
 


           ========== 875x775NN ==========

       RPM       VMPH       EFF      HP
      1000         7        0.86    0.0000
      2000        15        0.86    0.0010
      3000        23        0.86    0.0050
      4000        31        0.86    0.0120
      5000        39        0.86    0.0240
      6000        47        0.86    0.0410
      7000        55        0.86    0.0650
